Country Name,Country Code,Indicator Name,Indicator Code,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Algeria,DZA,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,35.33,,,,,,,,,,,,,,,,,,,,
Angola,AGO,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,51.96,,,,,,,,42.72,,,,,,,
Benin,BEN,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.58,,,,,,,,43.44,,,,
Botswana,BWA,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,54.21,,,,,,,,60.79,,,,,,,,,64.73,,,,,,,60.46,,,,,,
Burkina Faso,BFA,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,48.07,,,,49.94,,,,,43.25,,,,,,39.76,,,,,,
Burundi,BDI,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,33.33,,,,,,42.35,,,,,,,,33.36,,,,,,,,,
Cabo Verde,CPV,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5,,,,,,47.19,,,,,,,,
Cameroon,CMR,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,44.45,,,,,42.14,,,,,,42.82,,,,,,,,
Central African Republic,CAF,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,61.33,,,,,,,,,,,43.61,,,,,56.24,,,,,,,
Chad,TCD,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.82,,,,,,,,43.32,,,,
Comoros,COM,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.93,,,,,,,,,,,
"Congo, Dem. Rep.",ZAR,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.21,,,,,,,,42.1,,,
"Congo, Rep.",COG,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.33,,,,,,40.16,,,,
Cote d'Ivoire,CIV,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,45.53,37.97,40.51,36.89,,,,39.39,39.35,,40.56,,,38.96,,,,41.34,,,,,,43.18,,,,,,,
Djibouti,DJI,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,45.13,,,
"Egypt, Arab Rep.",EGY,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.75,,,,,,,
Equatorial Guinea,GNQ,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,ETH,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,32.42,,,,,,,,,,,,,,44.56,,,,29.98,,,,,29.81,,,,,,33.17,,,,,
Gabon,GAB,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.18,,,,,,,,,,
"Gambia, The",GMB,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,47.56,,,,,47.33,,,,,,,,,,,,
Ghana,GHA,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,35.35,35.99,,,38.44,,,,,,,40.07,,,,,,,42.77,,,,,,,,,,
Guinea,GIN,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,46.84,,,46.08,,,,,,,,43,,,,,39.36,,,,,33.73,,,
Guinea-Bissau,GNB,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,43.61,,,,,,,,,35.57,,,,,,,,50.66,,,,,
Kenya,KEN,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,57.46,,43.86,,,46.3,,,,,,,,48.51,,,,,,,,,,
Lesotho,LSO,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,56.02,,,,,,,,63.24,,,,,,,,51.57,,,,,,,,54.18,,,,,
Liberia,LBR,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.48,,,,,,,,
Madagascar,MDG,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,45.26,,,,39.47,,38.61,,47.44,,,,38.88,,,,,40.63,,,,,
Malawi,MWI,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,65.76,,,,,,,39.87,,,,,,46.12,,,,,
Mali,MLI,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,50.44,,,,,,,39.87,,,,,38.93,,,33.04,,,,,,
Mauritania,MRT,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,43.94,,,,,,50.05,,37.75,,,,,39.03,,,,40.17,,,,37.48,,,,,,,
Mauritius,MUS,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.65,,,,,,35.84,,,
Morocco,MAR,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,39.19,,,,,,39.2,,,,,,,,39.46,,40.64,,,,,,,40.72,,,,,,,,
Mozambique,MOZ,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,44.41,,,,,,47.04,,,,,,45.58,,,,,,,
Namibia,NAM,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.32,,,,,,60.97,,,,,,
Niger,NER,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,36.1,,41.53,,,,,,,,,,,44.43,,37.3,,,,31.45,,,,
Nigeria,NGA,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,38.68,,,,,,,44.98,,,,51.92,,,,,,,40.06,,,,,,42.97,,,,,,
Rwanda,RWA,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,28.9,,,,,,,,,,,,,,,,48.55,,,,,52.04,,,,,51.34,,,,,
Sao Tome and Principe,STP,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,32.13,,,,,,,,,,30.82,,,,,
Senegal,SEN,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,54.14,,,41.44,,,,,,,41.23,,,,39.22,,,,,,40.28,,,,
Seychelles,SYC,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,42.78,,,,,,,42.77,,,,,,,,,
Sierra Leone,SLE,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.17,,,,,,,,33.99,,,,
South Africa,ZAF,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,59.33,,62.97,,,,,57.77,,,,,,64.79,,63.01,,,63.38,,,,
South Sudan,SSD,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,SDN,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.39,,,,,,
Swaziland,SWZ,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,60.45,,,,,,53.11,,,,,,,,,51.45,,,,,,
Tanzania,TZA,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,35.29,,,,,,,,,37.3,,,,,,,40.28,,,,37.78,,,,
Togo,TGO,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.21,,,,,46.02,,,,
Tunisia,TUN,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,43.43,,,,,40.24,,,,,41.66,,,,,40.81,,,,,37.73,,,,,35.81,,,,,
Uganda,UGA,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,44.36,,,41.43,,,,39.04,,,43,,,45.17,,,42.94,,,,44.2,,,42.37,,,
Zambia,ZMB,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,60.51,,52.61,,,48.33,,49.13,,,,42.06,,54.29,,54.62,,,,55.62,,,,,
Zimbabwe,ZWE,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
